CountryShort,Year,Nr. of coordinated projects,Budget of coordinated projects,Total nr. of projects,Nr. of projects as participant,Country,GDP,Population,% pop. with a secondary education,% pop. with a tertiary education,National R&D Budget,GDP / capita,Budget of coordinated projects / capita,Nr. of coordinated projects - Cumulative,Budget of coordinated projects - Cumulative,Total nr. of projects - Cumulative,Nr. of projects as participant - Cumulative,Budget of coordinated projects / capita - Cumulative
BG,2013,4,4898092.17,100,96,Bulgaria,  55795500000,7284552,55.7,22.2,266736000,7659.42778636215,0.672394427275692,84,49093208.97,1128,1044,6.56150967930815
BG,2014,4,5250460.5,46,42,Bulgaria,  56809600000,7245677,53.8,23.6,339927000,7840.48198670738,0.724633529758503,88,54343669.47,1174,1086,7.28614320906665
BG,2015,9,4817257,110,101,Bulgaria,  50245400000,7202198,53.7,24.1,433196000,6976.39803848769,0.668859284346251,97,59160926.47,1284,1187,7.9550024934129
BG,2016,5,2382218,93,88,Bulgaria,  52427300000,7153784,53.8,24.3,NA,7328.61098406102,0.333001108224682,102,61543144.47,1377,1275,8.28800360163758
CY,2004,4,1245453,64,60,Cyprus,  17337300000,722893,35.1,25.7,46784000,23983.2174332854,1.72287323296809,4,1245453,64,60,1.72287323296809
CY,2005,5,132750,45,40,Cyprus,  18710300000,733067,38.1,25.7,55233000,25523.3150585144,0.18108849532171,9,1378203,109,100,1.9039617282898
CY,2006,12,3349498,86,74,Cyprus,  20420800000,744013,38.8,27.6,62363000,27446.8322462108,4.50193477802135,21,4727701,195,174,6.40589650631115
CY,2007,6,1986808,39,33,Cyprus,  24108500000,757916,39.1,29.7,70375000,31808.9339715747,2.62140923268542,27,6714509,234,207,9.02730573899657
CY,2008,9,3677561.82,79,70,Cyprus,  27954000000,776333,38.6,31,73365000,36007.7440995037,4.73709325766134,36,10392070.82,313,277,13.7643989966579
CY,2009,6,7635011.66,43,37,Cyprus,  26045800000,796930,38.2,30.5,82988000,32682.669745147,9.58052985833135,42,18027082.48,356,314,23.3449288549892
CY,2010,14,19533155.51,70,56,Cyprus,  25585300000,819140,38.3,32.1,86198000,31234.3433356935,23.8459305002808,56,37560237.99,426,370,47.19085935527
CY,2011,13,11858872.62,64,51,Cyprus,  27465600000,839751,38,33.7,88883000,32706.8380984363,14.1218916321624,69,49419110.61,490,421,61.3127509874324
CY,2012,10,8203979.32,71,61,Cyprus,  25011200000,862011,38.6,35,83322000,29014.942964765,9.51725595149018,79,57623089.93,561,482,70.8300069389226
CY,2013,10,13094633.43,84,74,Cyprus,  24062800000,865878,39.2,35.4,83829000,27790.0581837164,15.1229543076507,89,70717723.36,645,556,85.9529612465733
CY,2014,11,16559561.15,54,43,Cyprus,  23338200000,858000,37.5,36.4,84094000,27200.6993006993,19.3001878205128,100,87277284.51,699,599,105.253149067086
CY,2015,24,34844282.58,111,87,Cyprus,  19568500000,847008,38.1,36.4,80400000,23103.0875741433,41.1380796639465,124,122121567.09,810,686,146.391228731033
CY,2016,18,19426577.5,86,68,Cyprus,  19815100000,848319,38.2,37.2,NA,23358.0763840018,22.9000853452534,142,141548144.59,896,754,169.291314076286
CZ,2004,6,2480901,293,287,Czech Republic, 119263200000,10195347,72,10.4,1100092000,11697.8068524789,0.2433365926633,6,2480901,293,287,0.2433365926633
CZ,2005,14,9258838,294,280,Czech Republic, 136097100000,10198855,72.2,11,1280832000,13344.3509099796,0.907831124180116,20,11739739,587,567,1.15116771684342
CZ,2006,13,42630520,360,347,Czech Republic, 155372000000,10223577,72.2,11.4,1526648000,15197.4206288073,4.16982431882696,33,54370259,947,914,5.32099203567038
CZ,2007,7,158902,123,116,Czech Republic, 189134500000,10254233,72.2,11.6,1801084000,18444.5292007701,0.0154962345794171,40,54529161,1070,1030,5.3364882702498
CZ,2008,11,4437649.46,257,246,Czech Republic, 236742200000,10343422,71.7,12.4,1999197000,22888.1892278977,0.429031075015599,51,58966810.46,1327,1276,5.7655193452654
CZ,2009,21,13165712.84,212,191,Czech Republic, 206928900000,10425783,71.4,13.4,1924518000,19847.8042368616,1.26280326762987,72,72132523.3,1539,1467,7.02832261289527
CZ,2010,19,9978031.43,193,174,Czech Republic, 207299300000,10462088,71.1,14.5,2095142000,19814.3334294263,0.953732317105343,91,82110554.73,1732,1641,7.98205493000061
CZ,2011,12,51158676.8,179,167,Czech Republic, 228344300000,10486731,70.3,15.8,2551989000,21774.5930547851,4.87841986220491,103,133269231.53,1911,1808,12.8604747922055
CZ,2012,19,21786564.08,236,217,Czech Republic, 207410800000,10505445,69.6,17,2877264000,19743.1712792747,2.07383543295881,122,155055795.61,2147,2025,14.9343102251643
CZ,2013,23,27090792.9,218,195,Czech Republic, 209496700000,10516125,69,18.1,2996666000,19921.4729760249,2.57611933102735,145,182146588.51,2365,2220,17.5104295561917
CZ,2014,13,8669078.2,95,82,Czech Republic, 208122800000,10512419,68.5,19.1,3090662000,19797.8029604794,0.824651129297643,158,190815666.71,2460,2302,18.3350806854893
CZ,2015,22,25957287.25,239,217,Czech Republic, 185246700000,10538275,67.8,19.8,3250243000,17578.465166263,2.46314384944405,180,216772953.96,2699,2519,20.7982245349334
CZ,2016,23,32802080.65,193,170,Czech Republic, 193056900000,10553843,67.3,20.3,NA,18292.5688775169,3.10806979505001,203,249575034.61,2892,2689,23.9062943299834
DE,2003,32,131656685,242,210,Germany,2511354500000,82536680,55.7,20.3,54538500000,30427.132518536,1.59512940186109,32,131656685,242,210,1.59512940186109
DE,2004,380,1521681106.75,3431,3051,Germany,2824424200000,82531671,55.3,21.1,54966900000,34222.3072158566,18.4375414712008,412,1653337791.75,3673,3261,20.0326708730619
DE,2005,386,1185749375,2537,2151,Germany,2862499900000,82500849,54.6,20.6,55739038000,34696.6114251745,14.37257179014,798,2839087166.75,6210,5412,34.4052426632019
DE,2006,457,1823527151.24,3267,2810,Germany,3004964700000,82437995,55.3,20.1,58779100000,36451.2103915191,22.1199842528921,1255,4662614317.99,9477,8222,56.525226916094
DE,2007,183,428737608.81,1098,915,Germany,3444381700000,82314906,56.1,20.4,61481981000,41843.9608009757,5.20850511339951,1438,5091351926.8,10575,9137,61.7337320294935
DE,2008,375,1542909464.93,2794,2419,Germany,3767807200000,82217837,56.3,21.4,66531540000,45827.1262962075,18.7661159819858,1813,6634261391.73,13369,11556,80.4998480114793
DE,2009,349,923188385.32,2214,1865,Germany,3431598500000,82002356,55.8,22.3,67014884000,41847.5598432806,11.2580714793121,2162,7557449777.05,15583,13421,91.7579194907914
DE,2010,469,1612446539.22,2675,2206,Germany,3420385500000,81802257,56.3,22.7,70014208000,41812.8499804107,19.711516507668,2631,9169896316.27,18258,15627,111.469435998459
DE,2011,501,1509200200.75,2921,2420,Germany,3762743000000,80222065,57.6,24.3,75569073000,46904.0905391802,18.8127817546208,3132,10679096517.02,21179,18047,130.28221775308
DE,2012,535,1542012131.55,3073,2538,Germany,3543812400000,80327900,57.2,24.9,79110378000,44116.8311383716,19.1964701125014,3667,12221108648.57,24252,20585,149.478687865582
DE,2013,545,1844444125.28,3363,2818,Germany,3753529300000,80523746,57.1,25.2,79729508000,46613.9429231223,22.905592659338,4212,14065552773.85,27615,23403,172.38428052492
DE,2014,347,1801000485.22,1296,949,Germany,3884441000000,80767463,57.1,23.2,84454140000,48094.1316678475,22.2985892873718,4559,15866553259.07,28911,24352,194.682869812291
DE,2015,600,1527706018.32,2989,2389,Germany,3364913800000,81197537,56.4,23.8,87188000000,41441.0821352869,18.8146842227493,5159,17394259277.39,31900,26741,213.497554035041
DE,2016,536,1460953253.54,2492,1956,Germany,3467552400000,82175684,55.9,24.4,NA,42196.818221799,17.7784130587827,5695,18855212530.93,34392,28697,231.275967093823
DK,2003,5,879283,49,44,Denmark, 218721300000,5383507,47,27.2,4854805000,40628.0329903908,0.16332903440081,5,879283,49,44,0.16332903440081
DK,2004,42,175620404,515,473,Denmark, 251793000000,5397640,46.7,27.9,4896923000,46648.7205519449,32.5365166998911,47,176499687,564,517,32.6998457342919
DK,2005,65,147707478,438,373,Denmark, 264784700000,5411405,45.8,28.5,5093872000,48930.8599153085,27.2955873751826,112,324207165,1002,890,59.9954331094745
DK,2006,54,178593934,458,404,Denmark, 283177000000,5427459,45.3,29.3,5419522000,52174.8759410251,32.9056256343899,166,502801099,1460,1294,92.9010587438643
DK,2007,44,122887238,260,216,Denmark, 319851700000,5447084,41.7,26,5870551000,58719.8031093334,22.560187799564,210,625688337,1720,1510,115.461246543428
DK,2008,50,157373827.82,376,326,Denmark, 355365100000,5475791,40.8,26.3,6701046000,64897.4915222294,28.7399259431194,260,783062164.82,2096,1836,144.201172486548
DK,2009,47,90183446.86,346,299,Denmark, 322586700000,5511451,40.9,26.9,7065873000,58530.2672562997,16.3629227330516,307,873245611.68,2442,2135,160.564095219599
DK,2010,56,152690051.38,379,323,Denmark, 322364400000,5534738,40.7,27.5,7093296000,58243.8409912086,27.587584340939,363,1025935663.06,2821,2458,188.151679560538
DK,2011,78,127517868.28,434,356,Denmark, 345048800000,5560628,41.5,27.9,7299197000,62052.1279251192,22.9322782031094,441,1153453531.34,3255,2814,211.083957763648
DK,2012,97,285712158.25,485,388,Denmark, 327081800000,5580516,41.6,28.6,7589599000,58611.3900578369,51.1981612901029,538,1439165689.59,3740,3202,262.282119053751
DK,2013,108,283423551.54,560,452,Denmark, 343636100000,5602628,41.4,29.1,7685904000,61334.8057375931,50.5876084473215,646,1722589241.13,4300,3654,312.869727501072
DK,2014,83,178816675.48,246,163,Denmark, 352361300000,5627235,42,29.8,7868903000,62617.1290162931,31.7770051330716,729,1901405916.61,4546,3817,344.646732634144
DK,2015,148,229736171.82,487,339,Denmark, 301546700000,5659715,42,30.7,8054271000,53279.4849210605,40.5914735671319,877,2131142088.43,5033,4156,385.238206201276
DK,2016,149,276118654.23,521,372,Denmark, 306395400000,5707251,41.9,31.2,NA,53685.285612986,48.3803242979851,1026,2407260742.66,5554,4528,433.618530499261
EE,2004,8,1865546,99,91,Estonia,  12075400000,1366250,54,25.6,82702000,8838.35315645014,1.36544995425435,8,1865546,99,91,1.36544995425435
EE,2005,10,5393910,117,107,Estonia,  14011400000,1358850,52.4,27.7,104023000,10311.2190455164,3.96946682856827,18,7259456,216,198,5.33491678282262
EE,2006,4,2476386,115,111,Estonia,  16977900000,1350700,52,27.4,150991000,12569.7045976161,1.83340934330347,22,9735842,331,309,7.16832612612609
EE,2007,1,78036,54,53,Estonia,  22265700000,1342920,52.5,27.5,173648000,16580.064337414,0.0581091948887499,23,9813878,385,362,7.22643532101484
EE,2008,10,8704690.17,96,86,Estonia,  24293600000,1338440,51.3,28.3,208039000,18150.6828845522,6.50360880577389,33,18518568.17,481,448,13.7300441267887
EE,2009,10,9739383.77,84,74,Estonia,  19730700000,1335740,50.6,30.2,197393000,14771.3626903439,7.29137689220956,43,28257951.94,565,522,21.0214210189983
EE,2010,10,15861985.5,77,67,Estonia,  19509700000,1333290,51.8,30,232760000,14632.7505643933,11.8968757734626,53,44119937.44,642,589,32.9182967924609
EE,2011,5,6241409.48,73,68,Estonia,  23201300000,1329660,51,31.3,384447000,17449.0471248289,4.69398904983229,58,50361346.92,715,657,37.6122858422932
EE,2012,5,4692005.76,77,72,Estonia,  23042700000,1325217,51.1,32.1,380695000,17387.8693074417,3.54055657299899,63,55053352.68,792,729,41.1528424152922
EE,2013,9,7433495.23,91,82,Estonia,  25088000000,1320174,51.9,32.3,326045000,19003.5555919144,5.63069355251656,72,62486847.91,883,811,46.7835359678088
EE,2014,12,23158462.2,58,46,Estonia,  26248800000,1315819,52.2,32.6,286736000,19948.6403525105,17.6000363271848,84,85645310.11,941,857,64.3835722949936
EE,2015,36,36640777.44,120,84,Estonia,  22469200000,1314870,51.6,33.3,302766000,17088.5334671869,27.8664639394009,120,122286087.55,1061,941,92.2500362343944
EE,2016,21,17515841.35,86,65,Estonia,  23152400000,1315944,51.8,33.9,NA,17593.7577890852,13.3104762436699,141,139801928.9,1147,1006,105.560512478064
EL,2003,6,5425897,58,52,Greece, 202377200000,10915770,40.4,15.7,977780000,18539.8922842823,0.49706956082805,6,5425897,58,52,0.49706956082805
EL,2004,80,222575984.2,739,659,Greece, 240963100000,10940369,41.6,17.5,1021470000,22025.1346184027,20.3444677414446,86,228001881.2,797,711,20.8415373022726
EL,2005,101,97627495,469,368,Greece, 247877400000,10969912,42.3,17.6,1153526000,22596.1156297334,8.89956956810592,187,325629376.2,1266,1079,29.7411068703785
EL,2006,118,298485222.19,801,683,Greece, 273547000000,11004716,39.9,18.7,1222600000,24857.2521090049,27.1233916613568,305,624114598.39,2067,1762,56.8644985317354
EL,2007,56,63107758.51,291,235,Greece, 318907900000,11036008,40.1,19.1,1341600000,28897.0341449553,5.71835019601291,361,687222356.9,2358,1997,62.5828487277483
EL,2008,107,219074514.94,666,559,Greece, 355919500000,11060937,40.5,19.8,1601570000,32178.0605024692,19.8061443564863,468,906296871.84,3024,2556,82.3889930842345
EL,2009,101,170408466.3,460,359,Greece, 331312700000,11094745,40.5,19.9,1485940000,29862.1284220593,15.3593855739812,569,1076705338.14,3484,2915,97.7483786582157
EL,2010,107,249798750.4,577,470,Greece, 299649900000,11119289,40.6,20.9,1352520000,26948.6565193152,22.4653528116771,676,1326504088.54,4061,3385,120.213731469893
EL,2011,98,177894916.1,550,452,Greece, 288184200000,11123392,40.7,22.2,1391156000,25907.9424693475,15.9928658542286,774,1504399004.64,4611,3837,136.206597324121
EL,2012,89,209570435.37,579,490,Greece, 245658800000,11086406,41.3,22.9,1337600000,22158.5606733147,18.903370070517,863,1713969440.01,5190,4327,155.109967394638
EL,2013,116,318392278.01,650,534,Greece, 239926900000,11003615,41.4,24,1465670000,21804.3706545531,28.9352433732005,979,2032361718.02,5840,4861,184.045210767839
EL,2014,44,117236872.72,272,228,Greece, 236394100000,10926807,42.2,24.6,1488740000,21634.3255628108,10.729289235181,1023,2149598590.74,6112,5089,194.77450000302
EL,2015,91,281917844.51,618,527,Greece, 194936300000,10858018,43,25.4,1683850000,17953.2120871415,25.9640244204789,1114,2431516435.25,6730,5616,220.738524423499
EL,2016,89,226216576.64,574,485,Greece, 194690300000,10783748,43.5,26.2,NA,18054.0476279676,20.9775466414831,1203,2657733011.89,7304,6101,241.716071064982
ES,2003,8,34765353,119,111,Spain, 908887500000,41827838,20.7,23.6,8213036000,21729.2488318426,0.831153477260766,8,34765353,119,111,0.831153477260766
ES,2004,184,340977107.11,1540,1356,Spain,1071520300000,42547451,21,24.5,8945761000,25184.1244261613,8.01404312352343,192,375742460.11,1659,1467,8.8451966007842
ES,2005,214,311563660,1217,1003,Spain,1157717200000,43296338,22.3,26.1,10196871000,26739.3792056963,7.19607418068475,406,687306120.11,2876,2470,16.0412707814689
ES,2006,212,441364108.61,1645,1433,Spain,1265612200000,44009971,22.8,26.4,11815218000,28757.3968180983,10.0287298214761,618,1128670228.72,4521,3903,26.0700006029451
ES,2007,106,109960666.86,577,471,Spain,1481246000000,44784666,23.1,26.8,13342371000,33074.8475382177,2.45531956987242,724,1238630895.58,5098,4374,28.5253201728175
ES,2008,215,487527917.96,1354,1139,Spain,1641717300000,45668939,23.1,27,14701393000,35948.2251164188,10.6752626322236,939,1726158813.54,6452,5513,39.2005828050411
ES,2009,217,334585568.24,1150,933,Spain,1505036600000,46239273,23.2,27.4,14581676000,32548.8811210332,7.2359608300935,1156,2060744381.78,7602,6446,46.4365436351346
ES,2010,334,788163109.55,1558,1224,Spain,1432966400000,46486619,23.4,28.4,14588455000,30825.3521298247,16.9546232121119,1490,2848907491.33,9160,7670,63.3911668472465
ES,2011,402,885749275.82,1866,1464,Spain,1490014900000,46667174,23.7,29.3,14184295000,31928.5436054045,18.9801352835293,1892,3734656767.15,11026,9134,82.3713021307758
ES,2012,443,982710082.69,2093,1650,Spain,1335881100000,46818219,23.6,30,13391607000,28533.3600579723,20.9899074266366,2335,4717366849.84,13119,10784,103.361209557412
ES,2013,460,1206004283.34,2384,1924,Spain,1362144500000,46727890,23.5,30.9,13011798000,29150.5672522342,25.8090892471284,2795,5923371133.18,15503,12708,129.170298804541
ES,2014,342,705205224.06,1138,796,Spain,1377687700000,46512199,23.9,31.7,12820756000,29619.9218617894,15.1617261540354,3137,6628576357.24,16641,13504,144.332024958576
ES,2015,591,1044121414.79,2207,1616,Spain,1193421500000,46449565,24.4,32.1,13171807000,25692.8455627087,22.4786048004971,3728,7672697772.03,18848,15120,166.810629759073
ES,2016,594,1296716320.95,2118,1524,Spain,1232921700000,46445828,24.7,32.6,NA,26545.3702321767,27.9188977091764,4322,8969414092.98,20966,16644,194.72952746825
FI,2003,6,50997604,52,46,Finland, 171454900000,5206295,43.5,27.5,5005018000,32932.229157203,9.79537348536723,6,50997604,52,46,9.79537348536723
FI,2004,46,176729938,474,428,Finland, 197129500000,5219732,43.9,28.3,5253417000,37766.2109855449,33.8580482676122,52,227727542,526,474,43.6534217529794
FI,2005,41,68868475,334,293,Finland, 204513900000,5236611,44.5,28.6,5473700000,39054.6290339305,13.1513444477736,93,296596017,860,767,56.804766200753
FI,2006,49,159495212.11,464,415,Finland, 216734100000,5255580,44.8,29,5761196000,41238.8547030014,30.3477850418032,142,456091229.11,1324,1182,87.1525512425562
FI,2007,16,67948863.96,140,124,Finland, 255713400000,5276955,44.6,30,6242670000,48458.5144273544,12.8765289755171,158,524040093.07,1464,1306,100.029080218073
FI,2008,66,227764154.34,438,372,Finland, 284910100000,5300484,44.6,30.2,6871092000,53751.7139944201,42.9704446499603,224,751804247.41,1902,1678,142.999524868034
FI,2009,55,246339855.31,346,291,Finland, 252499200000,5326314,44.7,30.9,6786472000,47405.9922114994,46.2495931163653,279,998144102.72,2248,1969,189.249117984399
FI,2010,47,162578710.47,375,328,Finland, 248038500000,5351427,44.8,31.6,6971301000,46349.9735677979,30.3804406693766,326,1160722813.19,2623,2297,219.629558653775
FI,2011,36,108365768.34,404,368,Finland, 274041600000,5375276,44.6,32.5,7163692000,50981.8658613995,20.1600379850263,362,1269088581.53,3027,2665,239.789596638802
FI,2012,57,217279014.14,444,387,Finland, 256694000000,5401267,45.4,32.8,6831888000,47524.7752055212,40.2274159266705,419,1486367595.67,3471,3052,280.017012565472
FI,2013,50,163063866.59,468,418,Finland, 270053200000,5426674,45.6,33.6,6684100000,49764.035945406,30.0485834583025,469,1649431462.26,3939,3470,310.065596023775
FI,2014,42,83582704.15,242,200,Finland, 272972200000,5451270,45.2,34.7,6512100000,50074.9733548329,15.3327030490143,511,1733014166.41,4181,3670,325.398299072789
FI,2015,105,265797681.63,499,394,Finland, 232452500000,5471753,45.3,35.5,6070900000,42482.2721347254,48.5763304063615,616,1998811848.04,4680,4064,373.974629479151
FI,2016,78,146247255.36,376,298,Finland, 236945200000,5487308,45.5,35.7,NA,43180.5905555147,26.6519129890285,694,2145059103.4,5056,4362,400.626542468179
FR,2003,36,222327930,218,182,France,1852269900000,61864088,40.8,22.2,34569095000,29940.9554053395,3.59381245545881,36,222327930,218,182,3.59381245545881
FR,2004,338,1560684247,2494,2156,France,2128014400000,62292241,41,22.7,35692601000,34161.7891062869,25.0542318264003,374,1783012177,2712,2338,28.6480442818591
FR,2005,362,1085131570.57,1872,1510,France,2204517800000,62772870,41.1,23.4,36227644000,35118.9582378502,17.286633072058,736,2868143747.57,4584,3848,45.9346773539172
FR,2006,378,3226669226.55,2505,2127,France,2326962000000,63229635,41.1,24,37904431000,36801.7623381821,51.0309639862701,1114,6094812974.12,7089,5975,96.9656413401872
FR,2007,198,583255228.24,875,677,France,2666540700000,63645065,41.6,24.4,39303086000,41897.0536050203,9.16418622936437,1312,6678068202.36,7964,6652,106.129827569552
FR,2008,342,980994665.97,2102,1760,France,2935496200000,64007193,42.3,24.8,41066323000,45861.9736691156,15.3263191211963,1654,7659062868.33,10066,8412,121.456146690748
FR,2009,324,855800433.62,1680,1356,France,2704540900000,64350226,41.8,25.9,42834917000,42028.4600088273,13.2991053305702,1978,8514863301.95,11746,9768,134.755252021318
FR,2010,384,984577031.66,2001,1617,France,2649386300000,64658856,41.9,26.2,43468832000,40974.8403219506,15.2272572168614,2362,9499440333.61,13747,11385,149.982509238179
FR,2011,432,1140679143.29,2084,1652,France,2866523300000,64978721,42,26.7,45111514000,44114.8002897749,17.5546567512463,2794,10640119476.9,15831,13037,167.537165989426
FR,2012,424,1001485700.71,2060,1636,France,2681286400000,65276983,41.9,27.7,46519037000,41075.5258097636,15.3420954015292,3218,11641605177.61,17891,14673,182.879261390955
FR,2013,436,1040282426.7,2301,1865,France,2809271500000,65600350,43.1,28.9,47480452000,42824.0321888527,15.8578792140591,3654,12681887604.31,20192,16538,198.737140605014
FR,2014,319,576850329.21,1002,683,France,2842942200000,65942093,43.7,29.7,47918737000,43112.7079936635,8.74783166512473,3973,13258737933.52,21194,17221,207.484972270139
FR,2015,475,1198729214.57,2035,1560,France,2419890500000,66488186,43.6,30.4,48643420000,36395.7966908587,18.029206189653,4448,14457467148.09,23229,18781,225.514178459792
FR,2016,429,1150178762.09,1777,1348,France,2463140300000,66759950,43.6,30.8,NA,36895.4785017065,17.2285743486926,4877,15607645910.18,25006,20129,242.742752808484
HR,2006,2,248539,61,59,Croatia,  50472400000,4312487,58.2,13.6,297500000,11703.7802084969,0.0576324056165271,2,248539,61,59,0.0576324056165271
