"TIME","GEO","SECTPERF","UNIT","Value"
"2004","Luxembourg","Higher education sector","Million euro","5.5"
"2004","Luxembourg","Private non-profit sector","Million euro",":"
"2004","Hungary","All sectors","Million euro","721.312"
"2004","Hungary","Business enterprise sector","Million euro","296.596"
"2004","Hungary","Government sector","Million euro","213.144"
"2004","Hungary","Higher education sector","Million euro","177.282"
"2004","Hungary","Private non-profit sector","Million euro",":"
"2004","Malta","All sectors","Million euro","24.046"
"2004","Malta","Business enterprise sector","Million euro","15.906"
"2004","Malta","Government sector","Million euro","0.607"
"2004","Malta","Higher education sector","Million euro","7.534"
"2004","Malta","Private non-profit sector","Million euro","0"
"2004","Netherlands","All sectors","Million euro","9 469"
"2004","Netherlands","Business enterprise sector","Million euro","5 071"
"2004","Netherlands","Government sector","Million euro","1 253"
"2004","Netherlands","Higher education sector","Million euro","3 145"
"2004","Netherlands","Private non-profit sector","Million euro",":"
"2004","Austria","All sectors","Million euro","5 249.546"
"2004","Austria","Business enterprise sector","Million euro","3 556.479"
"2004","Austria","Government sector","Million euro","269.832"
"2004","Austria","Higher education sector","Million euro","1 401.649"
"2004","Austria","Private non-profit sector","Million euro","21.586"
"2004","Poland","All sectors","Million euro","1 138.84"
"2004","Poland","Business enterprise sector","Million euro","326.633"
"2004","Poland","Government sector","Million euro","444.287"
"2004","Poland","Higher education sector","Million euro","363.899"
"2004","Poland","Private non-profit sector","Million euro","4.021"
"2004","Portugal","All sectors","Million euro","1 110.346"
"2004","Portugal","Business enterprise sector","Million euro","400.027"
"2004","Portugal","Government sector","Million euro","173.799"
"2004","Portugal","Higher education sector","Million euro","408.492"
"2004","Portugal","Private non-profit sector","Million euro","128.029"
"2004","Romania","All sectors","Million euro","235.219"
"2004","Romania","Business enterprise sector","Million euro","130.092"
"2004","Romania","Government sector","Million euro","80.318"
"2004","Romania","Higher education sector","Million euro","23.764"
"2004","Romania","Private non-profit sector","Million euro","1.045"
"2004","Slovenia","All sectors","Million euro","379.452"
"2004","Slovenia","Business enterprise sector","Million euro","254.139"
"2004","Slovenia","Government sector","Million euro","75.257"
"2004","Slovenia","Higher education sector","Million euro","49.005"
"2004","Slovenia","Private non-profit sector","Million euro","1.05"
"2004","Slovakia","All sectors","Million euro","174.028"
"2004","Slovakia","Business enterprise sector","Million euro","85.602"
"2004","Slovakia","Government sector","Million euro","53.07"
"2004","Slovakia","Higher education sector","Million euro","35.005"
"2004","Slovakia","Private non-profit sector","Million euro","0.35"
"2004","Finland","All sectors","Million euro","5 253.417"
"2004","Finland","Business enterprise sector","Million euro","3 683.468"
"2004","Finland","Government sector","Million euro","497.3"
"2004","Finland","Higher education sector","Million euro","1 039.849"
"2004","Finland","Private non-profit sector","Million euro","32.8"
"2004","Sweden","All sectors","Million euro","10 426.115"
"2004","Sweden","Business enterprise sector","Million euro","7 667.218"
"2004","Sweden","Government sector","Million euro","324.628"
"2004","Sweden","Higher education sector","Million euro","2 392.622"
"2004","Sweden","Private non-profit sector","Million euro","41.647"
"2004","United Kingdom","All sectors","Million euro","29 833.653"
"2004","United Kingdom","Business enterprise sector","Million euro","18 664.948"
"2004","United Kingdom","Government sector","Million euro","3 196.7"
"2004","United Kingdom","Higher education sector","Million euro","7 373.508"
"2004","United Kingdom","Private non-profit sector","Million euro","598.497"
"2005","Belgium","All sectors","Million euro","5 551.553"
"2005","Belgium","Business enterprise sector","Million euro","3 775.624"
"2005","Belgium","Government sector","Million euro","464.249"
"2005","Belgium","Higher education sector","Million euro","1 238.842"
"2005","Belgium","Private non-profit sector","Million euro","72.839"
"2005","Bulgaria","All sectors","Million euro","106.423"
"2005","Bulgaria","Business enterprise sector","Million euro","22.908"
"2005","Bulgaria","Government sector","Million euro","71.092"
"2005","Bulgaria","Higher education sector","Million euro","11.159"
"2005","Bulgaria","Private non-profit sector","Million euro","1.264"
"2005","Czech Republic","All sectors","Million euro","1 280.832"
"2005","Czech Republic","Business enterprise sector","Million euro","758.979"
"2005","Czech Republic","Government sector","Million euro","283.421"
"2005","Czech Republic","Higher education sector","Million euro","231.934"
"2005","Czech Republic","Private non-profit sector","Million euro","6.498"
"2005","Denmark","All sectors","Million euro","5 093.872"
"2005","Denmark","Business enterprise sector","Million euro","3 476.762"
"2005","Denmark","Government sector","Million euro","328.6"
"2005","Denmark","Higher education sector","Million euro","1 254.442"
"2005","Denmark","Private non-profit sector","Million euro","34.068"
"2005","Germany","All sectors","Million euro","55 739.038"
"2005","Germany","Business enterprise sector","Million euro","38 651.038"
"2005","Germany","Government sector","Million euro","7 866.9"
"2005","Germany","Higher education sector","Million euro","9 221.1"
"2005","Germany","Private non-profit sector","Million euro",":"
"2005","Estonia","All sectors","Million euro","104.023"
"2005","Estonia","Business enterprise sector","Million euro","46.898"
"2005","Estonia","Government sector","Million euro","11.741"
"2005","Estonia","Higher education sector","Million euro","43.096"
"2005","Estonia","Private non-profit sector","Million euro","2.288"
"2005","Ireland","All sectors","Million euro","2 030"
"2005","Ireland","Business enterprise sector","Million euro","1 330"
"2005","Ireland","Government sector","Million euro","150"
"2005","Ireland","Higher education sector","Million euro","550"
"2005","Ireland","Private non-profit sector","Million euro",":"
"2005","Greece","All sectors","Million euro","1 153.526"
"2005","Greece","Business enterprise sector","Million euro","357.356"
"2005","Greece","Government sector","Million euro","233.9"
"2005","Greece","Higher education sector","Million euro","547.72"
"2005","Greece","Private non-profit sector","Million euro","14.55"
"2005","Spain","All sectors","Million euro","10 196.871"
"2005","Spain","Business enterprise sector","Million euro","5 485.034"
"2005","Spain","Government sector","Million euro","1 738.053"
"2005","Spain","Higher education sector","Million euro","2 959.928"
"2005","Spain","Private non-profit sector","Million euro","13.857"
"2005","France","All sectors","Million euro","36 227.644"
"2005","France","Business enterprise sector","Million euro","22 503.129"
"2005","France","Government sector","Million euro","6 437.332"
"2005","France","Higher education sector","Million euro","6 820.731"
"2005","France","Private non-profit sector","Million euro","466.452"
"2005","Croatia","All sectors","Million euro","312.358"
"2005","Croatia","Business enterprise sector","Million euro","128.837"
"2005","Croatia","Government sector","Million euro","75.032"
"2005","Croatia","Higher education sector","Million euro","108.083"
"2005","Croatia","Private non-profit sector","Million euro","0.405"
"2005","Italy","All sectors","Million euro","15 598.8"
"2005","Italy","Business enterprise sector","Million euro","7 855.8"
"2005","Italy","Government sector","Million euro","2 701.2"
"2005","Italy","Higher education sector","Million euro","4 711.7"
"2005","Italy","Private non-profit sector","Million euro","330.1"
"2005","Cyprus","All sectors","Million euro","55.233"
"2005","Cyprus","Business enterprise sector","Million euro","12.163"
"2005","Cyprus","Government sector","Million euro","17.564"
"2005","Cyprus","Higher education sector","Million euro","21.508"
"2005","Cyprus","Private non-profit sector","Million euro","3.998"
"2005","Latvia","All sectors","Million euro","72.693"
"2005","Latvia","Business enterprise sector","Million euro","29.609"
"2005","Latvia","Government sector","Million euro","13.587"
"2005","Latvia","Higher education sector","Million euro","29.494"
"2005","Latvia","Private non-profit sector","Million euro","0.003"
"2005","Lithuania","All sectors","Million euro","156.974"
"2005","Lithuania","Business enterprise sector","Million euro","32.003"
"2005","Lithuania","Government sector","Million euro","39.215"
"2005","Lithuania","Higher education sector","Million euro","85.757"
"2005","Lithuania","Private non-profit sector","Million euro",":"
"2005","Luxembourg","All sectors","Million euro","472"
"2005","Luxembourg","Business enterprise sector","Million euro","408"
"2005","Luxembourg","Government sector","Million euro","56.9"
"2005","Luxembourg","Higher education sector","Million euro","7.1"
"2005","Luxembourg","Private non-profit sector","Million euro",":"
"2005","Hungary","All sectors","Million euro","837.589"
"2005","Hungary","Business enterprise sector","Million euro","361.634"
"2005","Hungary","Government sector","Million euro","234.513"
"2005","Hungary","Higher education sector","Million euro","210.626"
"2005","Hungary","Private non-profit sector","Million euro",":"
"2005","Malta","All sectors","Million euro","27.213"
"2005","Malta","Business enterprise sector","Million euro","18.084"
"2005","Malta","Government sector","Million euro","1.286"
"2005","Malta","Higher education sector","Million euro","7.843"
"2005","Malta","Private non-profit sector","Million euro","0"
"2005","Netherlands","All sectors","Million euro","9 772"
"2005","Netherlands","Business enterprise sector","Million euro","5 169"
"2005","Netherlands","Government sector","Million euro","1 216"
"2005","Netherlands","Higher education sector","Million euro","3 387"
"2005","Netherlands","Private non-profit sector","Million euro",":"
"2005","Austria","All sectors","Million euro","6 029.81"
"2005","Austria","Business enterprise sector","Million euro","4 207.669"
"2005","Austria","Government sector","Million euro","313.916"
"2005","Austria","Higher education sector","Million euro","1 490.337"
"2005","Austria","Private non-profit sector","Million euro","17.888"
"2005","Poland","All sectors","Million euro","1 385.658"
"2005","Poland","Business enterprise sector","Million euro","439.995"
"2005","Poland","Government sector","Million euro","503.803"
"2005","Poland","Higher education sector","Million euro","437.559"
"2005","Poland","Private non-profit sector","Million euro","4.3"
"2005","Portugal","All sectors","Million euro","1 201.112"
"2005","Portugal","Business enterprise sector","Million euro","462.015"
"2005","Portugal","Government sector","Million euro","175.552"
"2005","Portugal","Higher education sector","Million euro","425.187"
"2005","Portugal","Private non-profit sector","Million euro","138.357"
"2005","Romania","All sectors","Million euro","326.897"
"2005","Romania","Business enterprise sector","Million euro","162.54"
"2005","Romania","Government sector","Million euro","111.702"
"2005","Romania","Higher education sector","Million euro","44.682"
"2005","Romania","Private non-profit sector","Million euro","7.976"
"2005","Slovenia","All sectors","Million euro","412.889"
"2005","Slovenia","Business enterprise sector","Million euro","242.912"
"2005","Slovenia","Government sector","Million euro","99.905"
"2005","Slovenia","Higher education sector","Million euro","69.149"
"2005","Slovenia","Private non-profit sector","Million euro","0.923"
"2005","Slovakia","All sectors","Million euro","194.376"
"2005","Slovakia","Business enterprise sector","Million euro","96.89"
"2005","Slovakia","Government sector","Million euro","57.642"
"2005","Slovakia","Higher education sector","Million euro","39.689"
"2005","Slovakia","Private non-profit sector","Million euro","0.156"
"2005","Finland","All sectors","Million euro","5 473.7"
"2005","Finland","Business enterprise sector","Million euro","3 876.9"
"2005","Finland","Government sector","Million euro","523"
"2005","Finland","Higher education sector","Million euro","1 042.1"
"2005","Finland","Private non-profit sector","Million euro","31.7"
"2005","Sweden","All sectors","Million euro","10 608.692"
"2005","Sweden","Business enterprise sector","Million euro","7 724.57"
"2005","Sweden","Government sector","Million euro","517.658"
"2005","Sweden","Higher education sector","Million euro","2 333.391"
"2005","Sweden","Private non-profit sector","Million euro","32.966"
"2005","United Kingdom","All sectors","Million euro","31 706.932"
"2005","United Kingdom","Business enterprise sector","Million euro","19 464.171"
"2005","United Kingdom","Government sector","Million euro","3 347.616"
"2005","United Kingdom","Higher education sector","Million euro","8 160.427"
"2005","United Kingdom","Private non-profit sector","Million euro","734.718"
"2006","Belgium","All sectors","Million euro","5 926.513"
"2006","Belgium","Business enterprise sector","Million euro","4 105.615"
"2006","Belgium","Government sector","Million euro","475.956"
"2006","Belgium","Higher education sector","Million euro","1 263.056"
"2006","Belgium","Private non-profit sector","Million euro","81.886"
"2006","Bulgaria","All sectors","Million euro","121.196"
"2006","Bulgaria","Business enterprise sector","Million euro","30.883"
"2006","Bulgaria","Government sector","Million euro","77.673"
"2006","Bulgaria","Higher education sector","Million euro","11.594"
"2006","Bulgaria","Private non-profit sector","Million euro","1.047"
"2006","Czech Republic","All sectors","Million euro","1 526.648"
"2006","Czech Republic","Business enterprise sector","Million euro","911.633"
"2006","Czech Republic","Government sector","Million euro","328.447"
"2006","Czech Republic","Higher education sector","Million euro","279.385"
"2006","Czech Republic","Private non-profit sector","Million euro","7.183"
"2006","Denmark","All sectors","Million euro","5 419.522"
"2006","Denmark","Business enterprise sector","Million euro","3 627.564"
"2006","Denmark","Government sector","Million euro","355.551"
"2006","Denmark","Higher education sector","Million euro","1 404.154"
"2006","Denmark","Private non-profit sector","Million euro","32.253"
"2006","Germany","All sectors","Million euro","58 779.1"
"2006","Germany","Business enterprise sector","Million euro","41 148"
"2006","Germany","Government sector","Million euro","8 156.08"
"2006","Germany","Higher education sector","Million euro","9 475.048"
"2006","Germany","Private non-profit sector","Million euro",":"
"2006","Estonia","All sectors","Million euro","150.991"
"2006","Estonia","Business enterprise sector","Million euro","67.094"
"2006","Estonia","Government sector","Million euro","19.825"
"2006","Estonia","Higher education sector","Million euro","61.33"
"2006","Estonia","Private non-profit sector","Million euro","2.742"
"2006","Ireland","All sectors","Million euro","2 216.9"
"2006","Ireland","Business enterprise sector","Million euro","1 466.4"
"2006","Ireland","Government sector","Million euro","150"
"2006","Ireland","Higher education sector","Million euro","600.5"
"2006","Ireland","Private non-profit sector","Million euro",":"
"2006","Greece","All sectors","Million euro","1 222.6"
"2006","Greece","Business enterprise sector","Million euro","367.3"
"2006","Greece","Government sector","Million euro","254.4"
"2006","Greece","Higher education sector","Million euro","584.5"
"2006","Greece","Private non-profit sector","Million euro","16.4"
"2006","Spain","All sectors","Million euro","11 815.218"
"2006","Spain","Business enterprise sector","Million euro","6 557.529"
"2006","Spain","Government sector","Million euro","1 970.824"
"2006","Spain","Higher education sector","Million euro","3 265.739"
"2006","Spain","Private non-profit sector","Million euro","21.127"
"2006","France","All sectors","Million euro","37 904.431"
"2006","France","Business enterprise sector","Million euro","23 910.57"
"2006","France","Government sector","Million euro","6 253.663"
"2006","France","Higher education sector","Million euro","7 278.887"
"2006","France","Private non-profit sector","Million euro","461.311"
"2006","Croatia","All sectors","Million euro","297.5"
"2006","Croatia","Business enterprise sector","Million euro","109.206"
"2006","Croatia","Government sector","Million euro","78.857"
"2006","Croatia","Higher education sector","Million euro","109.015"
"2006","Croatia","Private non-profit sector","Million euro","0.423"
"2006","Italy","All sectors","Million euro","16 831.3"
"2006","Italy","Business enterprise sector","Million euro","8 210.3"
"2006","Italy","Government sector","Million euro","2 897.1"
"2006","Italy","Higher education sector","Million euro","5 093.7"
"2006","Italy","Private non-profit sector","Million euro","630.2"
"2006","Cyprus","All sectors","Million euro","62.363"
"2006","Cyprus","Business enterprise sector","Million euro","14.184"
"2006","Cyprus","Government sector","Million euro","17.866"
"2006","Cyprus","Higher education sector","Million euro","25.725"
"2006","Cyprus","Private non-profit sector","Million euro","4.588"
"2006","Latvia","All sectors","Million euro","112.324"
"2006","Latvia","Business enterprise sector","Million euro","56.593"
"2006","Latvia","Government sector","Million euro","16.949"
"2006","Latvia","Higher education sector","Million euro","38.782"
"2006","Latvia","Private non-profit sector","Million euro","0"
"2006","Lithuania","All sectors","Million euro","190.512"
"2006","Lithuania","Business enterprise sector","Million euro","53.232"
"2006","Lithuania","Government sector","Million euro","43.53"
"2006","Lithuania","Higher education sector","Million euro","93.75"
"2006","Lithuania","Private non-profit sector","Million euro",":"
"2006","Luxembourg","All sectors","Million euro","563.5"
"2006","Luxembourg","Business enterprise sector","Million euro","485"
"2006","Luxembourg","Government sector","Million euro","66.52"
"2006","Luxembourg","Higher education sector","Million euro","12"
"2006","Luxembourg","Private non-profit sector","Million euro",":"
"2006","Hungary","All sectors","Million euro","900.451"
"2006","Hungary","Business enterprise sector","Million euro","434.694"
"2006","Hungary","Government sector","Million euro","228.459"
"2006","Hungary","Higher education sector","Million euro","219.266"
"2006","Hungary","Private non-profit sector","Million euro",":"
"2006","Malta","All sectors","Million euro","31.253"
"2006","Malta","Business enterprise sector","Million euro","20.685"
"2006","Malta","Government sector","Million euro","1.366"
"2006","Malta","Higher education sector","Million euro","9.203"
"2006","Malta","Private non-profit sector","Million euro","0"
"2006","Netherlands","All sectors","Million euro","10 175"
"2006","Netherlands","Business enterprise sector","Million euro","5 480"
"2006","Netherlands","Government sector","Million euro","1 260"
"2006","Netherlands","Higher education sector","Million euro","3 435"
"2006","Netherlands","Private non-profit sector","Million euro",":"
"2006","Austria","All sectors","Million euro","6 318.587"
"2006","Austria","Business enterprise sector","Million euro","4 448.676"
"2006","Austria","Government sector","Million euro","330.232"
"2006","Austria","Higher education sector","Million euro","1 523.16"
"2006","Austria","Private non-profit sector","Million euro","16.519"
"2006","Poland","All sectors","Million euro","1 512.565"
"2006","Poland","Business enterprise sector","Million euro","476.989"
"2006","Poland","Government sector","Million euro","560.127"
"2006","Poland","Higher education sector","Million euro","468.929"
"2006","Poland","Private non-profit sector","Million euro","6.52"
"2006","Portugal","All sectors","Million euro","1 586.922"
"2006","Portugal","Business enterprise sector","Million euro","736.402"
"2006","Portugal","Government sector","Million euro","180.014"
"2006","Portugal","Higher education sector","Million euro","506.076"
