Organisation;Number of project
54;A.I.C.CO.N.;1
55;A.L.P.A. - AZIENDA LAVORAZIONE PRODOTTI AUSILIARI S.P.A.;1
56;A.M.T.R SCIENTIFIC LTD;1
57;A.N.O. SISTEMAS DE INFORMATICA E SERVICOS LDA;1
58;A.P. Moller - Mærsk A/S;1
59;A.P.E. RESEARCH SRL;1
60;A.R.T.E. LA SPEZIA;1
61;A.S.EN. ANSALDO SVILUPPO ENERGIA;1
62;A.T.I. TRASPORTI INTERURBANI SPA;1
63;A.V. SHUBNIKOV INSTITUTE OF CRYSTALLOGRAPHY RUSSIAN ACADEMY OF SCIENCES;1
64;Řízení letového provozu České republiky;1
65;A2A SPA;1
66;A2F ASSOCIATES LIMITED;2
67;A3I SARL;1
68;A4F ALGAFUEL SA;2
69;AAC MICROTEC AB;1
70;AAI SCIENTIFIC CULTURAL SERVICES LIMITED;1
71;AALBORG KOMMUNE;2
72;AALBORG RORTEKNIK APS;1
73;AALBORG UNIVERSITET;43
74;AALTO-KORKEAKOULUSAATIO;43
75;AARHUS UNIVERSITET;82
76;AARHUS UNIVERSITETSHOSPITAL;2
77;AASA GLOBAL AS;1
78;AB ANALITICA SRL;2
79;AB CENTEK VID MLULEA TEKNISKA UNIVERSITET;2
80;AB Enzymes GmbH;1
81;AB LUDVIG SVENSSON;1
82;AB SANDVIK COROMANT;2
83;AB.ACUS SRL;4
84;ABALONYX AS;1
85;ABB AB;5
86;ABB AG;1
87;ABB AS;1
88;ABB LIMITED;1
89;ABB SPA;1
90;ABB SPZOO;1
91;ABB Turbo Systems AG;1
92;ABBIA "GNSS TECHNOLOGIES" SARL;1
93;ABBOTT LABORATORIES SA;1
94;ABCODIA LIMITED;1
95;ABEKING & RASMUSSEN SCHIFFS- UND YACHTWERFT AKTIENGESELLSCHAFT;1
96;ABENGOA HIDROGENO SA;2
97;ABENGOA RESEARCH SL;6
98;ABENGOA SOLAR NEW TECHNOLOGIES SA;1
99;ABERDEEN CITY COUNCIL*;2
100;ABERDEEN HARBOUR BOARD;1
101;ABERDEENSHIRE COUNCIL;1
102;ABERYSTWYTH UNIVERSITY;7
103;ABGAM S.A;1
104;ABICH SRL;1
105;ABIEL SOCIETA A RESPONSABILITA LIMITATA;2
106;ABIOMICS EUROPE KFT;1
107;ABIRAIL CZ SRO;1
108;ABIS SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA SPK;1
109;ABITEP GMBH;1
110;ABN PIPE SYSTEMS SL;1
111;ABO AKADEMI;4
112;ABO DATA SRL;2
113;ABOUTGOODS COOMPANY;1
114;ABRO BIOTEC SL;1
115;ABSETZ SIRKKU PILVIKKI;1
116;ABSINT ANGEWANDTE INFORMATIK GMBH;1
117;ABSISKEY CP;3
118;ABSOLUTE ZERO IVS;1
119;ABUD MERNOKIRODA KFT;2
120;Abundance NRG Ltd;1
121;ABUNDNZ BV;1
122;Abyssus Marine Services AS;1
123;AC AGUAS DE COIMBRA EM;1
124;ACADEMIA DE STUDII ECONOMICE DIN BUCURESTI;2
125;ACADEMIA NATIONALA DE INFORMATII MIHAI VITEAZUL;2
126;ACADEMIA SINICA;2
127;Academisch Medisch Centrum bij de Universiteit van Amsterdam;26
128;ACADEMISCH ZIEKENHUIS GRONINGEN;25
129;ACADEMISCH ZIEKENHUIS LEIDEN;3
130;ACADEMISCH ZIEKENHUIS LEIDEN - LEIDS UNIVERSITAIR MEDISCH CENTRUM;33
131;ACADEMISCH ZIEKENHUIS MAASTRICHT;1
132;ACADEMY OF ATHENS;3
133;ACADEMY OF SCIENCE OF SOUTH AFRICA;1
134;ACADEMY OF SCIENTIFIC RESEARCH AND TECHNOLOGY ASRT;4
135;ACADEMY OF STATE ADMINISTRATION OFGRAIN;1
136;ACCADEMIA DI BELLE ARTI DI BRERA;1
137;ACCADEMIA EUROPEA DI BOLZANO;7
138;ACCEDES. ENTORNOS Y SERVICIOS ACCESIBLES SL;1
139;ACCELERATED MEDICAL DIAGNOSTICS LTD;1
140;Accelerators and Cryogenic Systems;1
141;ACCELIOS Solar GmbH;1
142;ACCELLTA LTD;1
143;ACCELOPMENT AG;2
144;ACCENTUS MEDICAL LIMITED;1
145;ACCESS ASSOCIATES LIMITED;1
146;ACCESS e.V.;1
147;ACCESS FOR LIFE;1
148;ACCIAI SPECIALI TERNI SPA;1
149;ACCIONA AGUA SA;1
150;ACCIONA INFRAESTRUCTURAS S.A.;25
151;ACCREDITATION AND QUALITY ASSURANCE COMMISSION;1
152;ACCUREC-RECYCLING GMBH;3
153;ACE APPLIED COGNITIVE ENGINEERING LTD;1
154;ACE PHARMACEUTICALS BV;1
155;ACEA PINEROLESE INDUSTRIALE SPA;1
156;ACEDAG SCIENTIFIC LIMITED;1
157;ACELLERA LABS SL;2
158;ACER PARMA;1
159;ACESION PHARMA APS;1
160;ACESSOMATIC COMERCIO COMPONENTES PNEUMATICOS HIDRAULICOS E ELECTRICOS LDA;1
161;ACHMEA BV;1
162;ACHTEN BVBA;1
163;ACIB GmbH;3
164;ACIES BIO BIOTEHNOLOSKE RAZISKAVE IN RAZVOJ DOO;2
165;ACITURRI ENGINEERING SL;2
166;ACLI RACALE SOCIETA AGRICOLA COOPERATIVA;1
167;ACM ADVANCED CERAMICS MATERIALS GMBH;1
168;ACMIT GMBH;1
169;ACONDICIONAMIENTO TARRASENSE ASSOCIACION;16
170;ACONET  SRL;1
171;ACORDE TECHNOLOGIES S.A.;3
172;ACQUA AZZURRA SPA;1
173;ACQUIFER AG;1
174;ACREO SWEDISH ICT AB;8
175;ACRI-HE;1
176;ACRI-ST SAS;3
177;ACROSSLIMITS LTD;2
178;ACT OPERATIONS RESEARCH UK LTD;1
179;ACTALIA ASSOCIATION;1
180;ACTEON SARL;3
181;ACTIA AUTOMOTIVE;1
182;ACTILITY SAS;2
183;ACTION CONTRE LA FAIM;1
184;active innovation management;1
185;Active Space Technologies, Actividades Aeroespaciais S.A.;2
186;ACTIVEEON;1
187;ACTIVIDADES DE CONSULTORIA TECNICA, INVESTIGACION Y SERVICIOS AVANZADOS S.L.;1
188;AcureOmics AB;1
189;ACV INTERNATIONAL;1
190;AD TELECOM SL;1
191;ADAMA INNOVATIONS LIMITED;1
192;ADAMANT AERODIASTIMIKES EFARMOGES ETAIREIA PERIORISMENIS EFTHYNIS;1
193;ADANA METROPOLITAN MUNICIPALITY;1
194;ADANA TICARET ODASI;1
195;ADAPT IT AE;1
196;ADAPTIVE PREDICTIVE EXPERT CONTROL ADEX SL;2
197;Adaptix Ltd;1
198;ADAS UK LIMITED;2
199;ADDACT GMBH;1
200;ADDIS ABABA UNIVERSITY;2
201;ADELPHI RESEARCH GGMBH;6
202;ADENE - AGENCIA PARA A ENERGIA;3
203;Adevice Solutions S.L.;1
204;ADIDAS AG;1
205;ADIGO AS;1
206;ADIMEC ADVANCED IMAGE SYSTEMS BV;1
207;ADIRA METAL FORMING SOLUTIONS SA;1
208;ADITESS ADVANCED INTERGRATED TECHNOLOGY SOLUTIONS & SERVICES LTD;4
209;ADIXEN VACUUM PRODUCTS SAS;1
210;ADMATEC EUROPE BV;1
211;ADMATIS KUTATO, GYARTO ES KERESKEDELMI KORLATOLT FELELOSSEGU TARSASAG;2
212;ADMIN LEUVEN bvba;1
213;ADMINISTRADOR DE INFRAESTRUCTURAS FERROVIARIAS;1
214;ADMINISTRATIA NATIONALA DE METEOROLOGIE R.A.;2
215;ADMINISTRATION COMMUNALE DE LA VILLE DE LAUSANNE;1
216;ADMINISTRATION DE L'EQUIPEMENT ET DES DEPLACEMENTS;2
217;ADMOS GMBH ADVANCED MODELING SOLUTIONS;1
218;ADN CONTEXT -  AWARE MOBILE SOLUTIONS SL;1
219;Adour Pyrénées Garonne Environnement Etudes et Conseil;1
220;ADP - AGUAS DE PORTUGAL, SGPS SA;1
221;ADR TECHNOLOGY BV;1
222;ADRIA KOMBI NACIONALNA DRUZBA ZA KOMBINIRAMI PROMET DOO LJUBLJANA;1
223;ADRIA MOBIL PROIZVODNJA, TRGOVINA IN STORITVE NOVO MESTO DOO;1
224;ADS-ELECTRONIC RESEARCH SRL;1
225;ADS PROPULSION BV;1
226;ADVA OPTICAL NETWORKING LIMITED;1
227;ADVA OPTICAL NETWORKING SE;3
228;ADVALIA SRL;1
229;ADVAMAT SRO;1
230;ADVANCE CALL PTY LTD;1
231;Advanced Accelerator Applications;1
232;ADVANCED AUTOMOTIVE ANTENNAS S.L;2
233;ADVANCED BIOPROCESS DEVELOPMENT LIMITED;1
234;ADVANCED COATINGS & CONSTRUCTION SOLUTIONS SCRL;1
235;ADVANCED COMPUTER SYSTEMS A.C.S. S.P.A.;4
236;Advanced data processing GmbH;1
237;ADVANCED DIGITAL INNOVATION UK LTD;1
238;ADVANCED INNOVATIVE ENGINEERING (UK) LIMITED;2
239;ADVANCED LOGISTICS GROUP SAU;2
240;ADVANCED LOGISTICS TECHNOLOGY ENGINEERING CENTER SPA;2
241;ADVANCED MACHINERY & TECHNOLOGY CHEMNITZ GMBH;1
242;ADVANCED MANUFACTURING (SHEFFIELD)LIMITED;1
243;ADVANCED MASK TECHNOLOGY CENTER GMBH & CO KG;1
244;ADVANCED MECHANICAL SYSTEMS LTD;1
245;Advanced Microturbines Srl;2
246;ADVANCED PACKAGING CENTER  BV;2
247;ADVANCED SCIENCE AND TECHNOLOGY INSTITUTE;1
248;ADVANCED SPORTS INSTALLATIONS EUROPE AS;2
249;ADVANCED SUBSTRATE TECHNOLOGIES AS;1
250;ADVANCED TECHNOLOGY SYSTEMS SRL;1
251;ADVANCED THERAPEUTIC MATERIALS LTD;1
252;ADVANCED WAVE SENSORS S.L.;1
253;ADVANCES & INNOVATION IN SCIENCE & ENGINEERING CO EE;1
254;ADVANSID SRL;1
255;ADVANTEC GMBH;1
256;ADVANTIC SISTEMAS Y SERVICIOS;1
257;ADVENTECH - ADVANCED ENVIRONMENTAL TECHNOLOGIES LDA;1
258;ADVIES DE WITH;1
259;ADWAYS SAS;1
260;ADWEN OFFSHORE S.L.;2
261;AE.C.I. SRL- ARCHITETTURA EDILIZIACIVILE E INDUSTRIALE;1
262;AEA s.r.l.;2
263;AEC3 LTD;1
264;AECOM URS ESPANA SLU;1
265;AED ENGINEERING GMBH;2
266;AEDES VERENIGING VAN WONINGCORPORATIES;1
267;AEGIS IT RESEARCH LTD;1
268;AENEAS;1
269;AEON ASTRON EUROPE B.V.;1
270;AEORUM ESPANA S.L.;3
271;AEP POLYMERS SRL;1
272;AEPHORIA NETWORK PC;1
273;AER-TECH DEVELOPMENT LIMITED;1
274;AERAS GLOBAL TB VACCINE FOUNDATION;1
275;AERDRON SL;1
276;AERIS TECNOLOGÍAS AMBIENTALES S.L.;3
277;AERLYPER SA;1
278;AERNNOVA COMPOSITES ILLESCAS SA;1
279;AERNNOVA ENGINEERING DIVISION SAU;1
280;AERO CLUB BARCELONA SABADELL;2
281;AERO KOMMUNE;1
282;Aero Sekur S.p.A.;3
283;AEROCRINE AKTIEBOLAG;1
284;AEROPORTI DI PUGLIA SOCIETA PER AZIONI;1
285;AEROPORTI NDERKOMBETAR I PRISHTINES KONTROLLI AJROR ADEM JASHARI SHA;1
286;AEROSERTEC SL;1
287;AEROSPACE & ADVANCED COMPOSITES GMBH;2
288;AEROSPACE INTERNATIONAL SERVICES LIMITED;1
289;AEROSPACE VALLEY;6
290;AEROVISION BV;1
291;AF INVENTIONS GMBH;1
292;AFA SYSTEMS SRL;1
293;AFAG AUTOMATION AG;1
294;AFEKA - THE ACADEMIC COLLEGE OF ENGINEERING IN TEL AVIV;1
295;AFEKA YISSUMIM LTD;1
296;AFFARSVERKET SVENSKA KRAFTNAT;1
297;AFFILOGIC SAS;1
298;AFPT GMBH;2
299;AFRICAN CENTRE FOR TECHNOLOGY STUDIES;1
300;AFRICAN COLLABORATIVE CENTRE FOR EARTH SYSTEM SCIENCE (ACCESS);1
301;AFRICAN FORUM FOR AGRICULTURAL ADVISORY SERVICES;1
302;AFRICAN UNION;1
303;AFTON CHEMICAL LIMITED;1
304;AFVS - ASSOCIACAO FLORESTAL DO VALE DO SOUSA;1
305;AGA AB;1
306;Agència Catalana de l'Aigua;1
307;AGCS GAS CLEARING AND SETTLEMENT AG;1
308;AGE PLATFORM EUROPE AISBL;6
309;AGECARE (CYPRUS) LTD;1
310;AGEIA TECHNOLOGIES SWITZERLAND AG;1
311;AGENCE BRUXELLOISE POUR L'ENTREPRISE;11
312;AGENCE DE DEVELOPPEMENT ECONOMIQUE DE LA NOUVELLE CALEDONIE ASSOCIATION;2
313;AGENCE DE L'ENVIRONNEMENT ET DE LA MAITRISE DE L'ENERGIE;7
314;AGENCE DE L'INNOVATION EN REGION HAUTE NORMANDIE;1
315;AGENCE DES AIRES MARINES PROTEGEES;1
316;AGENCE EUROPEENNE POUR L'INFORMATION ET LE CONSEIL DES JEUNES ASBL;2
317;AGENCE FRANCE PRESSE;1
318;AGENCE INNOVATION ET INITIATIVES LOCALES ASSOCIATION;1
319;AGENCE NATIONALE DE LA RECHERCHE;20
320;AGENCE NATIONALE DE LA SECURITE SANITAIRE DE L ALIMENTATION DE L ENVIRONNEMENT ET DU TRAVAIL;4
321;AGENCE NATIONALE DE PROTECTION DE L'ENVIRONNEMENT;1
322;AGENCE NATIONALE DE VALORISATION DES RESULTATS DE LA RECHERCHE ET DU DEVELOPPEMENT TECHNOLOGIQUE;1
323;AGENCE NATIONALE POUR LA GESTION DES DECHETS RADIOACTIFS;3
324;AGENCE OBSERVAT AMENAGE HABITAT REUNION;1
325;AGENCE PARISIENNE DU CLIMAT ASSOCIATION;1
326;AGENCE POUR L'ENTREPRISE ET L'INNOVATION SA;1
327;AGENCE POUR LA COOPERATION SCIENTIFIQUE AFRIQUE LUXEMBOURG ASBL;1
328;AGENCE POUR LA SECURITE DE LA NAVIGATION AERIENNE EN AFRIQUE ET A MADAGASCAR;2
329;AGENCE REGIONALE DU DEVELOPPEMENT DE L'INNOVATION ARDI RHONE-ALPES;1
330;AGENCE REGIONALE POUR L'INNOVATION ET L'INTERNATIONALISATION DES ENTREPRISES DE PROVENCE ALPES COTE D'AZUR;3
331;AGENCE REGIONALE POUR L'INNOVATION ET LE TRANSFERT DE TECHNOLOGIE ASSOCIATION;1
332;AGENCIA ANDALUZA DEL CONOCIMIENTO;4
333;AGENCIA DE DESARROLLO ECONOMICO DE LA RIOJA;3
334;AGENCIA DE ECOLOGIA URBANA DE BARCELONA CONSORCIO;3
335;AGENCIA DE INNOVACION Y DESARROLLO DE ANDALUCIA;3
336;AGENCIA DE INNOVACION Y FINANCIACION EMPRESARIAL DE CASTILLA Y LEON;4
337;AGENCIA DE MEDIO AMBIENTE Y AGUA DE ANDALUCIA;4
338;AGENCIA DE QUALITAT I AVALUACIO SANITARIES DE CATALUNYA;5
339;AGENCIA DE RESIDUS DE CATALUNYA;1
340;Agencia de Salut Publica de Barcelona;3
341;AGENCIA ENERGETICA DE LA RIBERA;1
342;AGENCIA ESPANOLA DE CONSUMO, SEGURIDAD ALIMENTARIA Y NUTRICION;1
343;AGENCIA ESPANOLA DE MEDICAMENTOS Y PRODUCTOS SANITARIOS;1
344;AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS;132
345;AGENCIA ESTATAL CONSEJO SUPERIOR DEINVESTIGACIONES CIENTIFICAS;47
346;AGENCIA ESTATAL DE METEOROLOGIA;5
347;AGENCIA EXTREMENA DE LA ENERGIA;1
348;AGENCIA MUNICIPAL DE LA ENERGIA DE MALAGA;1
349;AGENCIA PER A LA COMPETITIVITAT DE LA EMPRESA;3
350;AGENCIA PER A LA QUALITAT DEL SISTEMA UNIVERSITARI DE CATALUNYA;1
351;Agencia Regional da Energia e Ambiente da Regiao Autonoma da Madeira;1
352;Agencia Vasca de la Innovacion-Berrikuntzaren Euskal Agentzia;4
353;AGENCIJA ZA CIVILNO VAZDUHOPLOVSTVOCRNE GORE PODGORICA;1
354;AGENCIJA ZA KVALITETU I AKREDITACIJU U ZDRAVSTVU I SOCIJALNOJ SKRBI;1
355;AGENCIJA ZA MOBILNOST I PROGRAME EUROPSKE UNIJE;12
356;AGENCIJA ZA PRAVNI PROMET I POSREDOVANJE NEKRETNINAMA;1
357;AGENCIJA ZA PRESTRUKTURIRANJE ENERGETIKE DOO;1
358;AGENCJA ROZWOJU REGIONALNEGO SPOLKA AKCYJNA W KONINIE;1
359;AGENCJA UZYTKOWANIA I POSZANOWANIA ENERGII SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA;1
360;AGENDA Z.S.;1
361;Agendia NV;2
362;AGENFOR ITALIA;1
363;Agentia de Administrare a Retelei Nationale de Informatica Pentru Educatie si Cercetare;2
364;AGENTIA DE DEZVOLTARE REGIONALA NORD-VEST;1
365;Agentia Locala a Energiei Alba;1
366;AGENTIA NATIONALA DE CADASTRU SI PUBLICITATE IMOBILIARA;1
367;AGENTIA PENTRU DEZVOLTARE REGIONALA BUCURESTI -ILFOV;1
368;AGENTIA PENTRU DEZVOLTARE REGIONALA CENTRU;1
369;Agentia pentru Dezvoltare Regionala Nord-Est;2
370;AGENTIA PENTRU DEZVOLTARE REGIONALA SUD-VEST OLTENIA;1
371;AGENTIA PENTRU DEZVOLTARE REGIONALASUD-MUNTENIA;1
372;AGENTIA PENTRU EFICIENTA ENERGETICASI ENERGII REGENERABILE PLOIESTI-PRAHOVA ASOCIATIE;2
373;AGENTIA PENTRU MANAGEMENTUL ENERGIEI SI PROTECTIA MEDIULUI BRASOV;1
374;AGENTSCHAP PLANTENTUIN MEISE;1
375;AGENTSCHAP VOOR INNOVATIE DOOR WETENSCHAP EN TECHNOLOGIE;7
376;AGENTSIYA ZA REGIONALNO IKONOMICHESKO RAZVITIE;1
377;AGENTUR FUR EUROPAISCHE INTEGRATION UND WIRTSCHAFTLICHE ENTWICKLUNG VEREIN;1
378;AGENTUR FUR INNOVATIONSFORDERUNG UND TECHNOLOGIETRANSFER GMBH LEIPZIG;2
379;AGENZIA DELLE DOGANE;2
380;AGENZIA LOCALE PER L'ENERGIA E LO SVILUPPO SOSTENIBILE DELLA PROVINCIA DI COSENZA SRL;2
381;Agenzia Lucana di Sviluppo e di Innovazione in Agricoltura (ALSIA);1
382;AGENZIA NAPOLETANA PER L'ENERGIA E PER L'AMBIENTE;1
383;AGENZIA NAZIONALE PER LE NUOVE TECNOLOGIE, L'ENERGIA E LO SVILUPPO ECONOMICO SOSTENIBILE;36
384;AGENZIA PER L'ENERGIA E LO SVILUPPO SOSTENIBILE ASSOCIAZIONE;2
385;AGENZIA PER L'ITALIA DIGITALE;1
386;AGENZIA PER LA PROMOZIONE DELLA RICERCA EUROPEA;27
387;AGENZIA REGIONALE PER LA PREVENZIONE, L'AMBIENTE E L'ENERGIA DELL'EMILIA-ROMAGNA;2
388;AGENZIA REGIONALE PER LA PROTEZIONE AMBIENTALE DEL PIEMONTE;1
389;AGENZIA REGIONALE PER LA PROTEZIONE DELL'AMBIENTE LIGURE - ARPAL;1
390;AGENZIA REGIONALE PER LA TECNOLOGIAE L INNOVAZIONE;2
391;AGENZIA SERVIZI SETTORE AGROALIMENTARE MARCHE (ASSAM);1
392;AGENZIA SPAZIALE ITALIANA;4
393;AGFA-GEVAERT N.V.;1
394;AGFW-PROJEKTGESELLSCHAFT FUR RATIONALISIERUNG, INFORMATION UND STANDARDISIERUNG MBH;1
395;AGGERVERBAND;1
396;AGGREGATE FORMULA LDA;1
397;AGHETERA SAS DI VALE MANFREDI & C;1
398;AGILENT TECHNOLOGIES LDA ISRAEL LTD;1
399;AGIT AACHENER GESELLSCHAFT FUR INNOVATION UND TECHNOLOGIETRANSFER MITBESCHRANKTER HAFTUNG;1
400;AGJENCIA E KERKIMIT TEKNOLOGJISE DHE INOVACIONIT;1
401;AGJENCIA KOMBETARE E PLANIFIKIMIT TE TERRITORIT;1
402;AGLARIS LIMITED;1
403;AGNITIO SL;1
404;AGORIA ASBL;1
405;AGQ MINING & BIOENERGY SL;1
406;AGRA CEAS CONSULTING LTD;1
407;AGRI CON GMBH PRECISION FARMING COMPANY;2
408;AGRICOLA VILLENA COOPERATIVA VALENCIANA;1
409;AGRICOLTURA E VITA - ASSOCIAZIONE;1
410;AGRICON HUNGARY PRECISION FARMING KORLATOLT FELELOSSEGU TARSASAG;1
411;AGRICONSULTING SPA -SOCIETA' PER LACONSULENZA E LO SVILUPPO DELLE ATTIVITA' AGRICOLE ED AMBIENTALI*;1
412;AGRICULTURAL RESEARCH COUNCIL (ARC);2
413;AGRICULTURAL UNIVERSITY OF ATHENS;10
414;AGRIFARM INNOVATION APS;1
415;AGRIFOOD AND BIOSCIENCES INSTITUTE;2
416;AGRIFOOD CAPITAL BV;1
417;AGRINEWTECH SRL;2
418;AGRIPORT A7 B.V.;1
419;AGRIS SARDEGNA - AGENZIA PER LA RICERCA IN AGRICOLTURA;1
420;AGRISAT IBERIA SL;1
421;AGRISERA AKTIEBOLAG;1
422;AGRITEST SRL;1
423;AGRO-KNOW;3
424;AGRO-KNOW IKE;3
425;AGRO BUSINESS PARK AS;3
426;AGRO INTELLIGENCE APS;2
427;AGRO LV LIMITED;1
428;AGROBICS LTD;1
429;AGROBIO SL;2
430;AGROBIOINSTITUTE;2
431;AGROFIELD SOCIEDAD LIMITADA;1
432;Agroindustria Aragonesa S.A.;1
433;AGROINDUSTRIAL KIMITEC SL;1
434;AGROMET SRL;1
435;AGROTIKES EFARMOGES I K E;1
436;AGROTIKOS KTINOTROFIKOS SINETAIRISMOS DITIKIS ALLADOS;1
437;AGROTIKOS SYNETAIRISMOS KTINOTROFON AIGOPROVATOTROFON NOMOU PIERIAS;1
438;AGROTIKOS SYNETAIRISMOS PELLAS;1
439;AGROTIKOS SYNETAIRISMOS STEBIA ELLAS;1
440;AGROTOBIOMHCHANIKOS SYNETAIRISMOS TYMPAKIOY;1
441;AGRUPACION CLUSTER DE ELECTRODOMESTICOS DE EUSKADI AIE;1
442;AGRUPACION MEDITERRANEA DE INGENIERIA SA;1
443;AGT GROUP (R&D) GMBH;3
444;AGUSTAWESTLAND LIMITED;1
445;AGV SPA;1
446;AHAVA DEAD SEA LABORATORIES LTD;1
447;AICE CONSULTING SRL;1
448;AICURIS GMBH & CO. KG;1
449;AIEL ASSOCIAZIONE ITALIANA ENERGIE AGROFORESTALI;1
450;AIFOTEC AG;1
451;AIGUES DE BARCELONA, EMPRESA METROPOLITANA DE GESTIO DEL CICLE INTEGRAL DE L'AIGUA SA;1
452;Aigues de Manresa, S.A.;1
453;AIMA NAPOLI ONLUS;1
454;AIMES GRID SERVICES COMMUNITY INTEREST COMPANY;2
455;AIMPLAS - ASOCIACION DE INVESTIGACION DE MATERIALES PLASTICOS Y CONEXAS;2
456;AIMTECH CONSULTING LIMITED;1
457;AINIA;4
458;AIR BONAITA SPA;1
459;AIR CLEAN SRL;1
460;AIR FRANCE SA;1
461;AIR LIQUIDE ADVANCED TECHNOLOGIES SA;2
462;AIR LIQUIDE GLOBAL E&C SOLUTIONS FRANCE;1
463;AIR LIQUIDE HYDROGEN ENERGY;2
464;AIR MARINE SARL;1
465;AIR PRODUCTS PLC;1
466;AIRBORNE TECHNOLOGY CENTRE BV;1
467;AIRBUS DEFENCE AND SPACE GMBH;15
468;AIRBUS DEFENCE AND SPACE LTD;4
469;AIRBUS DEFENCE AND SPACE SAS;11
470;AIRBUS DS GMBH;10
471;AIRBUS DS SAS;3
472;Airbus Group SAS;8
473;AIRBUS OPERATIONS GMBH;3
474;AIRBUS OPERATIONS SAS;3
475;AIRBUS OPERATIONS SL;2
476;AIRBUS SAS;1
477;AIRBUSGROUP LIMITED;4
478;AIRCELLE SA;2
479;AIRCRAFT RESEARCH ASSOCIATION LIMITED;1
480;AIREC AB;1
481;AIRINNOVA AB;1
482;Airoptic Spolka z Ograniczona Odpowiedzialnoscia;2
483;AIRRAYS GMBH;2
484;Airsense Analytics GmbH;1
485;AIRTIES KABLOSUZ ILETISIM SANAYI VEDIS TICARET ANONIM SIRKETI;1
486;AIRTREN, S.L.;1
487;AISCAT SERVIZI SRL;1
488;AISFOR SRL;1
489;AISOLVE LIMITED;1
490;AIT Austrian Institute of Technology GmbH;43
491;AITEK BV;1
492;AITEK SOCIETA' PER AZIONI;3
493;AITIA INTERNATIONAL INFORMATIKAI ZARTKORUEN MUKODO RT;1
494;aixACCT Systems GmbH;2
495;AIXTRON LIMITED;2
496;AIXTRON SE;4
497;AIZOON CONSULTING SRL;2
498;AJUNTAMENT DE BADALONA;1
499;AJUNTAMENT DE BARCELONA;3
500;AJUNTAMENT DE L'HOSPITALET DE LLOBREGAT;1
501;AJUNTAMENT DE MANLLEU;1
502;AJUNTAMENT DE MANRESA;1
503;AJUNTAMENT DE MOLLET DEL VALLES;1
