id;Org1;Org2;nbLinkTmp;Org
839011;PIXIUM VISION;TECHNISCHE UNIVERSITEIT DELFT;1;PIXIUM VISION
869441;PIXIUM VISION;TECHNISCHE UNIVERSITAET HAMBURG-HARBURG;1;PIXIUM VISION
996521;PIXIUM VISION;UNIVERSITE DES SCIENCES ET TECHNOLOGIES DE LILLE - LILLE I;1;PIXIUM VISION
1004311;PIXIUM VISION;TECHNISCHE UNIVERSITEIT EINDHOVEN;1;PIXIUM VISION
1034381;PIXIUM VISION;USTAV FYZIKALNI CHEMIE J. HEYROVSKEHO AV CR, v. v. i.;1;PIXIUM VISION
1050681;PIXIUM VISION;STMICROELECTRONICS SRL;1;PIXIUM VISION
1058711;PIXIUM VISION;UNIVERSITA DEGLI STUDI DI ROMA TORVERGATA;1;PIXIUM VISION
1088401;PIXIUM VISION;UNIVERSITE DE GENEVE;1;PIXIUM VISION
1119211;PIXIUM VISION;UNIVERSITA DEGLI STUDI DI TRIESTE;1;PIXIUM VISION
1136811;PIXIUM VISION;UNIVERSITE DE STRASBOURG;1;PIXIUM VISION
1164941;PIXIUM VISION;UNIVERSITAET AUGSBURG;1;PIXIUM VISION
1195551;PIXIUM VISION;TECHNISCHE UNIVERSITAET CHEMNITZ;1;PIXIUM VISION
1237151;PIXIUM VISION;UMEA UNIVERSITET;1;PIXIUM VISION
1265021;PIXIUM VISION;THALES SA;1;PIXIUM VISION
1287071;PIXIUM VISION;Sabanci University;1;PIXIUM VISION
1315881;PIXIUM VISION;TECHNOLOGICAL EDUCATIONAL INSTITUTE OF CRETE;1;PIXIUM VISION
1332921;PIXIUM VISION;UNIVERSITA DEGLI STUDI DI SALERNO;1;PIXIUM VISION
1335191;PIXIUM VISION;UNIVERSITAET REGENSBURG;1;PIXIUM VISION
1477561;PIXIUM VISION;UNIVERSITE DE NAMUR ASBL;1;PIXIUM VISION
1645841;PIXIUM VISION;UNIVERSITE DE MONTPELLIER;1;PIXIUM VISION
1658112;PIXIUM VISION;SCUOLA INTERNAZIONALE SUPERIORE DI STUDI AVANZATI DI TRIESTE;1;PIXIUM VISION
1710461;PIXIUM VISION;REPSOL SA;1;PIXIUM VISION
1724041;PIXIUM VISION;VARTA MICRO INNOVATION GMBH;1;PIXIUM VISION
193165;PIXIUM VISION;POLYMEM S.A.;1;PIXIUM VISION
1932551;PIXIUM VISION;PROGNOMICS LTD;1;PIXIUM VISION
1933481;PIXIUM VISION;RESEARCH AND DEVELOPMENT OF NANOMATERIALS AND NANOTECHNOLOGY NANO TECHLAB LTD;1;PIXIUM VISION
1934481;PIXIUM VISION;STIFTELSEN CHALMERS INDUSTRITEKNIK;1;PIXIUM VISION
1935961;PIXIUM VISION;UNIVERSITY OF SUNDERLAND;1;PIXIUM VISION
1929891;COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES;PIXIUM VISION;1;PIXIUM VISION
1929901;DANMARKS TEKNISKE UNIVERSITET;PIXIUM VISION;1;PIXIUM VISION
1929911;ECOLE POLYTECHNIQUE FEDERALE DE LAUSANNE;PIXIUM VISION;1;PIXIUM VISION
1929922;KARLSRUHER INSTITUT FUER TECHNOLOGIE;PIXIUM VISION;1;PIXIUM VISION
1929931;MAX PLANCK GESELLSCHAFT ZUR FOERDERUNG DER WISSENSCHAFTEN E.V.;PIXIUM VISION;1;PIXIUM VISION
1929941;CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE;PIXIUM VISION;1;PIXIUM VISION
1929951;AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS;PIXIUM VISION;1;PIXIUM VISION
1929961;CONSIGLIO NAZIONALE DELLE RICERCHE;PIXIUM VISION;1;PIXIUM VISION
1929971;FRAUNHOFER-GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V;PIXIUM VISION;1;PIXIUM VISION
1929981;KAROLINSKA INSTITUTET;PIXIUM VISION;1;PIXIUM VISION
1929991;CONSORCI INSTITUT D'INVESTIGACIONS BIOMEDIQUES AUGUST PI I SUNYER;PIXIUM VISION;1;PIXIUM VISION
1930001;ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA;PIXIUM VISION;1;PIXIUM VISION
1930011;FONDATION EUROPEENNE DE LA SCIENCE;PIXIUM VISION;1;PIXIUM VISION
1930021;FOUNDATION FOR RESEARCH AND TECHNOLOGY HELLAS;PIXIUM VISION;1;PIXIUM VISION
1930031;FONDAZIONE ISTITUTO ITALIANO DI TECNOLOGIA;PIXIUM VISION;1;PIXIUM VISION
1930041;ISTITUTO NAZIONALE DI FISICA NUCLEARE;PIXIUM VISION;1;PIXIUM VISION
1930051;CHALMERS TEKNISKA HOEGSKOLA AB;PIXIUM VISION;1;PIXIUM VISION
1930061;ALBERT-LUDWIGS-UNIVERSITAET FREIBURG;PIXIUM VISION;1;PIXIUM VISION
1930071;PANEPISTIMIO KRITIS;PIXIUM VISION;1;PIXIUM VISION
1930081;CHRISTIAN-ALBRECHTS-UNIVERSITAET  ZU KIEL;PIXIUM VISION;1;PIXIUM VISION
1930091;IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE;PIXIUM VISION;1;PIXIUM VISION
1930101;LANCASTER UNIVERSITY;PIXIUM VISION;1;PIXIUM VISION
1930111;EIDGENOESSISCHE TECHNISCHE HOCHSCHULE ZUERICH;PIXIUM VISION;1;PIXIUM VISION
1930122;HORIBA JOBIN YVON S.A.S.;PIXIUM VISION;1;PIXIUM VISION
1930131;AALTO-KORKEAKOULUSAATIO;PIXIUM VISION;1;PIXIUM VISION
1930141;LINKOPINGS UNIVERSITET;PIXIUM VISION;1;PIXIUM VISION
1930151;PANEPISTIMIO IOANNINON;PIXIUM VISION;1;PIXIUM VISION
1930161;CNM TECHNOLOGIES GMBH;PIXIUM VISION;1;PIXIUM VISION
1930171;FRIEDRICH-SCHILLER-UNIVERSITAT JENA;PIXIUM VISION;1;PIXIUM VISION
1930181;FRIEDRICH-ALEXANDER-UNIVERSITAT ERLANGEN NURNBERG;PIXIUM VISION;1;PIXIUM VISION
1930191;FUNDACIO INSTITUT DE CIENCIES FOTONIQUES;PIXIUM VISION;1;PIXIUM VISION
1930201;BASF SE;PIXIUM VISION;1;PIXIUM VISION
1930211;CONSORZIO NAZIONALE INTERUNIVERSITARIO PER LE TELECOMUNICAZIONI;PIXIUM VISION;1;PIXIUM VISION
1930221;FUNDACION TECNALIA RESEARCH & INNOVATION;PIXIUM VISION;1;PIXIUM VISION
1930231;CENTRO RICERCHE FIAT SCPA;PIXIUM VISION;1;PIXIUM VISION
1930242;ABB AB;PIXIUM VISION;1;PIXIUM VISION
1930251;GRUPO ANTOLIN-INGENIERIA SA;PIXIUM VISION;1;PIXIUM VISION
1930261;NPL MANAGEMENT LIMITED;PIXIUM VISION;1;PIXIUM VISION
1930271;GLAXOSMITHKLINE RESEARCH AND DEVELOPMENT LTD;PIXIUM VISION;1;PIXIUM VISION
1930281;INTERUNIVERSITAIR MICRO-ELECTRONICACENTRUM IMEC VZW;PIXIUM VISION;1;PIXIUM VISION
1930291;EIDGENOESSISCHE MATERIALPRUEFUNGS- UND FORSCHUNGSANSTALT;PIXIUM VISION;1;PIXIUM VISION
1930301;FONDAZIONE BRUNO KESSLER;PIXIUM VISION;1;PIXIUM VISION
1930311;FLEXENABLE LIMITED;PIXIUM VISION;1;PIXIUM VISION
1930321;ERICSSON AB;PIXIUM VISION;1;PIXIUM VISION
1930331;CENTRO DE INVESTIGACION COOPERATIVADE ENERGIAS ALTERNATIVAS FUNDACION;PIXIUM VISION;1;PIXIUM VISION
1930341;ASOCIACION CENTRO DE INVESTIGACION COOPERATIVA EN BIOMATERIALES- CIC biomaGUNE;PIXIUM VISION;1;PIXIUM VISION
1930351;ITA-SUOMEN YLIOPISTO;PIXIUM VISION;1;PIXIUM VISION
1930361;M-SOLV LTD;PIXIUM VISION;1;PIXIUM VISION
1930372;AVANZARE INNOVACION TECNOLOGICA SL;PIXIUM VISION;1;PIXIUM VISION
1930381;ALCATEL-LUCENT DEUTSCHLAND AG;PIXIUM VISION;1;PIXIUM VISION
1930391;Institute of Mechanics, Bulgarian Academy of Sciences;PIXIUM VISION;1;PIXIUM VISION
1930401;GESELLSCHAFT FUR ANGEWANDTE MIKRO UND OPTOELEKTRONIK MIT BESCHRANKTERHAFTUNG AMO GMBH;PIXIUM VISION;1;PIXIUM VISION
1930412;CENTRO DE INVESTIGACION BIOMEDICA EN RED;PIXIUM VISION;1;PIXIUM VISION
1930421;INSTYTUT TECHNOLOGII MATERIALOW ELEKTRONICZNYCH;PIXIUM VISION;1;PIXIUM VISION
1930431;NOVALIA LIMITED;PIXIUM VISION;1;PIXIUM VISION
1930441;GRINP SRL;PIXIUM VISION;1;PIXIUM VISION
1930451;FUNDACIO INSTITUT CATALA DE NANOCIENCIA I NANOTECNOLOGIA;PIXIUM VISION;1;PIXIUM VISION
1930461;DELTA TECH SPA;PIXIUM VISION;1;PIXIUM VISION
1930471;FUNDACION PARA LA INVESTIGACION, DESARROLLO Y APLICACION DE MATERIALES COMPUESTOS;PIXIUM VISION;1;PIXIUM VISION
1930481;FUNDACION IMDEA NANOCIENCIA;PIXIUM VISION;1;PIXIUM VISION
1930491;BELARUSIAN STATE UNIVERSITY;PIXIUM VISION;1;PIXIUM VISION
1930501;MAGYAR TUDOMANYOS AKADEMIA ENERGIATUDOMANYI KUTATOKOZPONT;PIXIUM VISION;1;PIXIUM VISION
1930511;INFINEON TECHNOLOGIES AG;PIXIUM VISION;1;PIXIUM VISION
1930521;Asociacion - Centro de Investigacion Cooperativa en Nanociencias - CIC NANOGUNE;PIXIUM VISION;1;PIXIUM VISION
1930531;Graphenea S.A.;PIXIUM VISION;1;PIXIUM VISION
1930542;LABORATOIRE NATIONAL DE METROLOGIE ET D'ESSAIS;PIXIUM VISION;1;PIXIUM VISION
1930551;ALCATEL-LUCENT ITALIA S.P.A.;PIXIUM VISION;1;PIXIUM VISION
1930561;AIXTRON LIMITED;PIXIUM VISION;1;PIXIUM VISION
1930571;AIRBUS OPERATIONS SL;PIXIUM VISION;1;PIXIUM VISION
1930581;AMALYST LIMITED;PIXIUM VISION;1;PIXIUM VISION
1930591;ATHERM;PIXIUM VISION;1;PIXIUM VISION
1930601;BRETON SPA;PIXIUM VISION;1;PIXIUM VISION
1930612;DSM Ahead BV;PIXIUM VISION;1;PIXIUM VISION
1930621;DYESOL ITALIA SRL;PIXIUM VISION;1;PIXIUM VISION
1930631;EPCOS AG;PIXIUM VISION;1;PIXIUM VISION
1930641;G24 POWER LIMITED;PIXIUM VISION;1;PIXIUM VISION
1930651;GUGER TECHNOLOGIES OG;PIXIUM VISION;1;PIXIUM VISION
1930661;INSTITUTO DE TECNOLOGIAS EMERGENTES DE LA RIOJA;PIXIUM VISION;1;PIXIUM VISION
1930671;INTERNACIONAL DE COMPOSITES SA;PIXIUM VISION;1;PIXIUM VISION
1930681;ITALCEMENTI FABBRICHE RIUNITE CEMENTO SPA;PIXIUM VISION;1;PIXIUM VISION
1930691;LIBRE SOCIETA A RESPONSABILITA LIMITATA;PIXIUM VISION;1;PIXIUM VISION
1930701;N VISION SYSTEMS AND TECHNOLOGIES SL;PIXIUM VISION;1;PIXIUM VISION
1930712;NANESA SRL;PIXIUM VISION;1;PIXIUM VISION
1930721;NANOSC AB;PIXIUM VISION;1;PIXIUM VISION
1930731;NOKIA OYJ;PIXIUM VISION;1;PIXIUM VISION
1930741;NOKIA R&D (UK) LIMITED;PIXIUM VISION;1;PIXIUM VISION
1930751;OXFORD INSTRUMENTS NANOTECHNOLOGY TOOLS LIMITED;PIXIUM VISION;1;PIXIUM VISION
